College,First Major,First major total,Second Major,Second Major Total,Third Major,Third Major Total,Male,Female,White,Black,Hispanic,Asian,College Total
Architecture,Archtecture,284,Industrial Design,163,Building Construction,75,296,226,427,25,17,53,522
Computing,Computer Science,1266,null,null,null,null,1082,184,860,81,24,301,1266
Engineering,Mechanical Engineering,1111,Industrial Enginerring,1059,Electrical Engineering,945,4251,1358,3908,611,211,879,5609
Ivan Allen,International Affairs,209,"Science, Technology and Society",73,"History, Technology and Society",51,203,185,328,19,10,31,388
Management,Management,949,null,null,null,null,596,353,748,99,27,75,949
Sciences,Biology,326,Chemistry,132,Physics,103,333,397,559,49,18,104,730
