College,First Major,First major total,Second Major,Second Major Total,Third Major,Third Major Total,Male,Female,White,Black,Hispanic,Asian,College Total
Architecture,Archtecture,288,Industrial Design,169,Building Construction,114,329,242,454,31,21,65,571
Computing,Computer Science,1425,null,null,null,null,1242,183,982,71,25,347,1425
Engineering,Mechanical Engineering,1197,Industrial Engineering,1033,Electrical Engineering,931,4386,1344,3925,623,219,963,5730
Ivan Allen,International Affairs,221,Science Technology and Culture,87,History Technology and Society,64,236,238,405,29,10,31,474
Management,Management,1072,null,null,null,null,682,390,828,115,27,102,1072
Sciences,Biology,355,Chemistry,143,Physics,95,363,405,582,51,26,109,768
