College,First Major,First major total,Second Major,Second Major Total,Third Major,Third Major Total,Male,Female,White,Black,Hispanic,Asian,College Total
Architecture,Archtecture,258,Building Construction,175,Pre-Architecture,156,433,327,581,34,32,113,760
Computing,Computer Science,764,Computational Media,86,null,null,765,85,622,41,41,146,850
Engineering,Mechanical Engineering,1390,Industrial Engineering,923,Electrical Engineering,836,5281,1384,4344,525,374,1422,6665
Ivan Allen,International Affairs,178,International Affair and Modern Languages,165,Science Technology and Culture,110,384,385,599,52,39,79,769
Management,Management,1231,null,null,null,null,762,469,957,123,32,119,1231
Sciences,Biology,439,Chemistry,172,Psychology,128,511,548,751,69,44,195,1059
