College,First Major,First major total,Second Major,Second Major Total,Third Major,Third Major Total,Male,Female,White,Black,Hispanic,Asian,College Total
Architecture,Archtecture,165,Industrial Design,122,Pre-Architecture,93,229,260,327,30,45,87,489
Computing,Computer Science,805,Computational Media,131,null,null,794,142,584,70,51,231,936
Engineering,Mechanical Engineering,1608,Industrial Engineering,1232,Biomedical Engineering,1103,5867,1949,4616,504,597,2099,7816
Ivan Allen,Science Technology and Culture,128,International Affairs and Modern Languages,110,International Affairs,107,230,365,441,54,24,76,595
Management,Management,1259,null,null,null,null,699,560,936,104,42,177,1259
Sciences,Biology,440,Chemistry,231,Physics,135,558,698,779,79,64,334,1256
